,index,title,domestic_gross,foreign_gross,release_date,genres,vote_average,popularity,worldwide_gross,production_budget,genre1,genre2,genre3
5854,4644,Into the Grizzly Maze,0.0,0.0,2015-05-19,"Action,Adventure,Drama",,,0.0,10000000.0,Action,Adventure,Drama
5855,4645,Friend Request,3759078.0,15069913.0,2017-09-22,Thriller,,,11310835.0,9900000.0,Thriller,,
5856,4648,Gunless,458054.0,916108.0,2010-04-30,"Action,Comedy,Drama",,,458054.0,9900000.0,Action,Comedy,Drama
5857,4649,Adventureland,16044025.0,33597080.0,2009-04-03,,,,17553055.0,9800000.0,,,
5858,4650,Amour,6738954.0,43525998.0,2012-12-19,"Drama,Romance",,,36787044.0,9700000.0,Drama,Romance,
5859,4651,The Lost City,2484186.0,7741025.0,2006-04-28,,,,5256839.0,9600000.0,,,
5860,4652,Next Friday,57176582.0,116851889.0,2000-01-12,,,,59675307.0,9500000.0,,,
5861,4653,You Only Live Twice,43100000.0,154700000.0,1967-06-13,Documentary,,,111600000.0,9500000.0,Documentary,,
5862,4654,Poltergeist III,14114000.0,28228000.0,1988-06-10,,,,14114000.0,9500000.0,,,
5863,4655,Dangal,12391761.0,307046379.0,2016-12-21,"Action,Biography,Drama",,,294654618.0,9500000.0,Action,Biography,Drama
5864,4657,The Runaways,3573673.0,8852305.0,2010-03-19,"Biography,Drama,Music",,,5278632.0,9500000.0,Biography,Drama,Music
5865,4659,Gentlemen Broncos,115155.0,235110.0,2009-10-30,,,,119955.0,9500000.0,,,
5866,4660,Re-Kill,0.0,0.0,2013-12-31,"Action,Horror",,,0.0,9500000.0,Action,Horror,
5867,4661,It's a Mad Mad Mad Mad World,46300000.0,106300000.0,1963-11-07,,,,60000000.0,9400000.0,,,
5868,4662,Volver,12899867.0,100126480.0,2006-11-03,,,,87226613.0,9400000.0,,,
5869,4663,Melancholia,3030848.0,24848146.0,2011-11-11,"Drama,Sci-Fi",,,21817298.0,9400000.0,Drama,Sci-Fi,
5870,4666,Heavy Metal,19571091.0,39142182.0,1981-08-07,"Documentary,Family",,,19571091.0,9300000.0,Documentary,Family,
5871,4667,Jab Tak Hai Jaan,3047539.0,8854205.0,2012-11-13,"Drama,Romance",,,5806666.0,9200000.0,Drama,Romance,
5872,4668,Richard III,2684904.0,6884238.0,1995-12-29,Drama,,,4199334.0,9200000.0,Drama,,
5873,4669,Kites,1685269.0,18840462.0,2010-05-21,"Action,Drama,Romance",,,17155193.0,9200000.0,Action,Drama,Romance
